track_id,parent_id,start_frame,end_frame,morphology_class,area,length,width,centroid_x,centroid_y
1212,0,9,12,Divided,419.33,33.29,18.04,1138.63,897.78
1214,0,9,35,Divided,621.52,45.55,18.12,675.19,819.89
1217,0,9,33,Divided,788.3,48.76,23.39,169.61,953.6
1219,0,9,21,Divided,521.55,43.47,16.41,681.83,915.26
1220,0,9,9,,216.0,20.25,14.14,61.68,965.22
1222,0,9,28,Divided,683.6,49.49,18.65,748.65,887.95
1223,0,9,36,Divided,507.79,39.72,16.18,529.61,917.0
1224,0,9,35,Divided,613.31,51.84,15.83,529.03,944.31
1225,0,9,35,Divided,468.78,43.54,14.36,361.31,999.11
1227,0,10,16,,1544.33,142.27,15.69,1138.1,117.64
1228,0,10,10,Elongated,4141.0,316.09,18.06,921.51,162.4
1229,0,10,10,,1334.0,90.48,34.1,145.07,185.34
1230,0,10,36,Divided,365.96,24.35,19.3,345.14,185.48
1231,0,10,28,,1267.67,112.99,14.49,1169.08,150.22
1235,0,10,36,,694.15,48.68,19.14,721.28,194.06
1236,0,10,13,Divided,367.33,30.26,16.37,1125.39,257.4
1237,0,10,13,,435.67,31.71,16.9,498.88,240.5
1238,0,10,26,Divided,765.82,68.15,18.35,1118.66,380.84
1239,0,10,10,,218.0,17.8,15.74,707.62,278.66
1241,0,10,13,,1523.75,114.14,18.37,988.79,358.41
1242,0,10,34,Divided,596.29,45.91,16.86,1108.09,470.83
1243,0,10,21,,1052.64,77.01,17.84,369.4,381.21
1246,0,10,19,Divided,473.11,37.69,16.62,805.57,362.35
1248,0,10,36,,1553.17,112.95,19.69,610.69,358.28
1250,0,10,36,,2512.25,195.47,27.6,211.7,527.96
1251,0,10,12,Divided,511.0,36.12,18.46,305.23,427.47
1252,0,10,32,,1801.94,137.03,20.15,982.99,334.4
1254,0,10,36,,279.46,23.81,15.1,467.82,387.67
1258,0,10,11,Divided,457.5,37.74,16.66,1109.68,469.73
1260,0,10,10,Divided,479.0,40.05,15.57,1115.31,503.29
1262,0,10,10,Elongated,7735.0,311.77,44.24,1362.37,671.13
1264,281,10,18,,941.5,77.74,19.42,1097.44,495.72
1265,0,10,10,,2026.0,172.11,22.9,303.24,576.09
1266,0,10,11,Divided,596.0,52.59,15.19,1092.58,552.03
1268,0,10,36,Divided,862.65,64.82,20.22,1349.7,654.94
1270,0,10,36,,1652.96,86.62,25.93,342.84,569.08
1271,0,10,36,,1755.91,82.3,27.85,885.33,635.65
1276,0,10,13,,1747.0,144.55,35.26,854.73,753.08
1278,0,10,13,,247.25,19.96,15.96,875.09,763.85
1279,393,10,11,Divided,335.5,40.29,11.09,113.94,778.16
1280,0,10,10,Divided,430.0,45.45,13.59,721.35,796.52
1284,347,10,22,,1027.89,73.45,17.94,1177.01,787.42
1285,373,10,12,,1420.67,63.95,34.88,648.1,863.98
1286,0,10,26,Divided,3237.93,210.23,21.06,420.66,865.92
1287,0,10,16,Divided,610.14,42.09,19.05,565.15,874.8
1288,467,10,36,Divided,717.85,51.52,18.4,1036.89,895.67
1289,0,10,35,,739.38,53.63,18.37,500.62,880.25
1290,0,10,36,Divided,485.48,31.27,20.21,1192.47,957.56
1292,0,10,16,,855.33,58.59,18.89,775.6,986.46
1294,638,10,36,Divided,908.0,66.63,17.93,831.03,1007.1
1295,0,10,34,,1037.62,76.31,19.54,652.06,964.77
1296,0,11,24,,4206.27,172.09,37.09,310.64,84.77
1297,0,11,31,,1839.72,77.87,32.97,204.38,114.14
1299,0,11,11,,951.0,75.03,16.38,1210.38,110.77
1300,0,11,28,,443.33,34.35,16.97,1322.25,82.6
1302,0,11,17,,460.67,27.96,20.89,1326.75,153.3
1303,0,11,18,,1970.14,88.57,38.29,59.6,185.42
1304,0,11,18,,1834.5,144.36,16.74,1116.98,115.22
1306,0,11,14,Elongated,2995.33,240.58,20.92,1070.76,203.21
1307,0,11,14,Divided,754.25,51.11,18.84,728.4,201.99
1308,659,11,12,Divided,539.0,42.67,17.04,619.35,215.23
1309,0,11,15,Divided,678.4,49.86,18.07,671.6,214.35
1310,0,11,11,Divided,449.0,47.47,14.87,788.08,256.32
1312,0,11,32,Elongated,4829.64,320.42,42.94,417.35,254.7
1313,0,11,16,,1959.75,146.65,20.2,1139.52,275.75
1314,0,11,11,Divided,411.0,30.57,17.42,999.7,297.78
1315,0,11,33,,793.5,48.75,24.92,1339.82,393.47
1316,0,11,14,,645.0,50.77,15.56,673.0,292.14
1317,0,11,11,,223.0,18.36,15.59,1144.26,325.06
1318,0,11,19,Divided,543.0,46.02,15.12,1139.97,407.97
1319,0,11,36,,1322.06,82.47,23.22,235.47,371.76
1321,0,11,11,,826.0,76.67,15.08,120.38,420.89
1322,0,11,11,Elongated,6516.0,452.93,23.65,570.01,439.18
1326,0,11,11,Divided,677.0,45.79,19.21,431.44,417.51
1331,0,11,36,Elongated,7563.36,426.21,37.33,544.16,470.24
1334,0,11,15,,1005.5,78.82,17.41,360.7,522.29
1335,0,11,36,Divided,621.85,43.28,19.1,778.0,500.98
1336,0,11,11,,923.0,70.36,17.49,1323.86,566.63
1337,1120,11,36,,1408.08,83.25,21.82,903.01,564.16
1338,281,11,21,Divided,934.71,68.8,19.43,1092.41,540.87
1340,0,11,13,,1579.0,115.27,21.67,998.99,618.79
1341,0,11,11,,224.0,22.16,12.98,381.38,604.62
1343,0,11,11,,257.0,138.68,2.44,1390.39,668.58
1344,0,11,12,,455.0,32.82,17.65,624.49,651.86
1345,0,11,11,,203.0,18.9,14.1,529.74,673.13
1347,0,11,11,,834.0,75.67,14.9,867.24,733.89
1348,0,11,11,Divided,318.0,37.97,10.96,200.85,743.8
1351,0,11,35,,813.53,57.42,17.3,1171.62,734.27
1352,0,11,17,,1610.71,137.8,18.85,966.16,770.6
1354,373,11,21,,743.6,61.68,15.97,676.76,791.91
1355,347,11,16,,1300.0,82.79,25.99,1188.35,833.7
1357,0,11,36,Divided,412.04,30.23,17.71,80.52,913.82
1358,0,11,11,Divided,352.0,26.74,16.89,1054.93,907.28
1359,467,11,29,,768.87,63.2,16.75,918.82,944.75
1360,0,11,14,Divided,905.0,53.99,21.53,977.02,945.14
1363,526,11,16,,1048.67,84.56,16.59,813.76,939.76
1364,0,11,21,,692.86,51.63,18.89,1129.4,957.39
1365,0,11,36,,1299.76,81.7,23.51,284.96,972.64
1369,0,11,30,,692.31,54.18,17.64,655.96,936.55
1370,0,11,22,Divided,679.42,49.48,19.71,100.84,1000.45
1371,0,11,20,,593.38,47.1,16.0,639.62,991.4
1372,638,11,15,,556.8,42.49,18.61,678.23,1027.38
1376,0,12,22,,2058.67,96.17,39.0,235.4,156.86
1377,0,12,36,,2776.62,117.86,41.14,423.07,92.89
1378,0,12,26,,1656.29,113.2,19.79,1204.94,78.83
1379,1158,12,36,Divided,575.6,42.66,17.88,74.84,104.99
1380,1158,12,24,Divided,327.54,36.99,14.53,46.05,146.84
1382,0,12,12,,642.0,57.02,14.58,1055.78,173.88
1383,0,12,16,,2960.6,182.55,28.57,716.65,175.77
1384,659,12,36,Divided,652.79,48.12,18.15,803.8,182.53
1386,0,12,36,Divided,714.21,48.27,21.05,915.33,179.12
1387,0,12,34,Divided,493.61,35.91,17.7,489.02,191.36
1388,0,12,12,,740.0,50.08,19.15,656.34,212.41
1389,0,12,12,,1342.0,132.37,13.48,908.7,220.27
1390,0,12,36,,284.35,22.93,16.69,282.5,239.49
1391,0,12,21,,1120.5,91.26,17.03,1135.69,232.61
1392,0,12,34,,1287.42,78.55,21.65,750.9,238.96
1393,0,12,13,,235.5,26.5,11.9,224.91,240.21
1395,0,12,30,Divided,754.1,68.92,18.26,362.36,246.97
1399,0,12,23,Elongated,7633.36,501.27,31.19,439.24,334.89
1400,0,12,36,Divided,432.61,39.04,17.4,72.39,282.82
1405,176,12,36,,1685.14,137.17,20.66,776.94,296.14
1406,0,12,12,,286.0,25.97,14.24,1250.54,366.27
1407,0,12,12,,1367.0,79.66,35.43,1356.05,404.65
1408,0,12,12,,284.0,20.64,17.65,1369.71,373.83
1411,176,12,28,,1049.88,82.38,17.05,787.27,369.15
1412,0,12,13,,2353.5,189.8,19.27,843.61,408.85
1413,0,12,15,Elongated,4379.25,371.1,17.23,626.45,444.27
1414,0,12,31,,1165.07,85.22,17.95,933.41,465.13
1415,0,12,13,Divided,511.5,43.08,15.57,855.63,441.37
1422,1120,12,14,,1841.67,125.72,21.64,836.23,518.02
1424,0,12,13,,1149.5,78.56,20.51,883.04,554.0
1426,0,12,13,Divided,459.5,36.15,16.25,1074.53,570.46
1428,0,12,12,Divided,523.0,40.17,17.03,223.32,597.18
1429,0,12,31,Divided,488.38,43.79,16.11,1123.02,543.32
1430,220,12,20,,719.62,62.42,15.61,1158.8,565.22
1432,0,12,12,Divided,265.0,32.37,11.95,1094.66,624.72
1433,0,12,12,,1423.0,86.93,25.08,969.04,636.72
1435,0,12,13,,243.0,23.82,13.14,1239.98,652.21
1436,0,12,12,Elongated,6147.0,508.53,72.86,855.79,769.95
1437,0,12,36,,874.52,64.71,17.51,321.2,655.07
1439,0,12,12,,243.0,25.26,12.32,1111.22,710.11
1442,0,12,12,Divided,462.0,43.92,13.57,453.54,778.63
1443,0,12,21,,1164.33,69.98,28.32,1371.11,810.37
1445,0,12,12,Divided,269.0,26.19,13.79,1229.56,801.03
1447,0,12,36,,672.95,51.41,18.05,721.35,760.58
1448,0,12,35,,1159.18,63.31,30.32,772.9,865.21
1450,0,12,14,,784.33,64.39,17.46,678.86,938.13
1451,0,12,18,Divided,387.0,32.0,15.84,893.96,992.24
1452,0,12,18,Divided,588.33,48.03,17.09,745.96,960.68
1453,526,12,36,,652.67,46.77,18.37,855.2,983.68
1455,0,12,33,Divided,614.5,50.61,16.02,779.56,972.6
1457,0,12,36,Divided,649.8,50.63,16.87,448.79,969.39
1458,60,13,16,,830.0,167.51,27.78,1384.46,99.75
1459,0,13,20,,2550.4,195.49,18.41,1077.65,22.89
1462,60,13,29,Divided,563.6,36.27,21.69,1350.7,82.04
1465,0,13,34,Divided,625.86,47.82,16.9,813.04,164.57
1467,0,13,21,,230.29,21.01,14.11,148.19,199.62
1468,0,13,13,,570.0,63.0,12.52,1161.25,208.72
1471,0,13,32,,1529.24,104.97,20.51,824.17,231.82
1474,0,13,18,,818.5,60.17,18.18,1193.2,299.81
1478,0,13,19,Divided,536.2,42.0,16.66,1234.62,408.85
1480,0,13,15,Divided,670.33,56.87,17.23,1193.22,453.98
1482,0,13,23,,881.44,74.0,15.66,486.29,449.49
1485,0,13,15,Divided,455.0,35.8,16.54,1141.34,563.75
1487,0,13,14,,1411.0,81.12,36.0,808.37,561.01
1488,0,13,16,,572.75,65.97,12.56,571.02,568.13
1489,0,13,36,Divided,350.0,32.55,14.39,128.01,631.04
1490,220,13,36,Divided,518.1,34.32,19.55,1152.28,596.71
